URL,MatchDateTime,Station,Show,IAShowID,IAPreviewThumb,Snippet
https://archive.org/details/ALJAZ_20200125_110000_NEWS_LIVE_-_30#start/206/end/241,1/25/2020 11:03:41,ALJAZ,NEWS LIVE - 30,ALJAZ_20200125_110000_NEWS_LIVE_-_30,https://archive.org/download/ALJAZ_20200125_110000_NEWS_LIVE_-_30/ALJAZ_20200125_110000_NEWS_LIVE_-_30.thumbs/ALJAZ_20200125_110000_NEWS_LIVE_-_30_000178.jpg,"coronavirus here where up here in beijing they are doing everything they can to the limit the exposure the potential exposure of this coronavirus mainly because the large concern with this virus this silent killer as it's been is that some people can be carrying the virus but be asymptomatic they might not show any symptoms yet"
https://archive.org/details/ALJAZ_20200118_230000_NEWSHOUR#start/2128/end/2163,1/18/2020 23:35:43,ALJAZ,NEWSHOUR,ALJAZ_20200118_230000_NEWSHOUR,https://archive.org/download/ALJAZ_20200118_230000_NEWSHOUR/ALJAZ_20200118_230000_NEWSHOUR.thumbs/ALJAZ_20200118_230000_NEWSHOUR_002128.jpg,"a novel coronavirus a corona virus is a class of viruses that can cause the common cold but a actually can also cause more serious diseases like murs and sars let's take a closer look at the virus it's been identified underclass"
https://archive.org/details/ALJAZ_20200123_100000_NEWSHOUR#start/551/end/586,1/23/2020 10:09:26,ALJAZ,NEWSHOUR,ALJAZ_20200123_100000_NEWSHOUR,https://archive.org/download/ALJAZ_20200123_100000_NEWSHOUR/ALJAZ_20200123_100000_NEWSHOUR.thumbs/ALJAZ_20200123_100000_NEWSHOUR_000538.jpg,"chinese government is i mean it took some time to become mobilized to the threats of this virus but the chinese government is prepared to do whatever it takes to stop the spread of this virus. absolutely when the coronavirus 1st"
https://archive.org/details/ALJAZ_20200125_130000_NEWSHOUR#start/467/end/502,1/25/2020 13:08:02,ALJAZ,NEWSHOUR,ALJAZ_20200125_130000_NEWSHOUR,https://archive.org/download/ALJAZ_20200125_130000_NEWSHOUR/ALJAZ_20200125_130000_NEWSHOUR.thumbs/ALJAZ_20200125_130000_NEWSHOUR_000448.jpg,"now on how authorities there are handling the discovery of the 1st cases of the virus in france. the french health minister confirming the fact that there are 3 cases confirmed of the kora virus coronavirus i should say in france now she says"
https://archive.org/details/ALJAZ_20200130_083300_The_Stream_2020_Ep__15#start/801/end/836,1/30/2020 8:46:36,ALJAZ,The Stream 2020 Ep  15,ALJAZ_20200130_083300_The_Stream_2020_Ep__15,https://archive.org/download/ALJAZ_20200130_083300_The_Stream_2020_Ep__15/ALJAZ_20200130_083300_The_Stream_2020_Ep__15.thumbs/ALJAZ_20200130_083300_The_Stream_2020_Ep__15_000778.jpg,"prevent you catching the coronavirus. where the virus needs to go is either into your eyes your nose or into your mouth and then down into your throat and into your lungs now if you wander through an environment which has got lots of virus bobbing"
https://archive.org/details/ALJAZ_20200118_140000_NEWS_LIVE_-_30#start/784/end/819,1/18/2020 14:13:19,ALJAZ,NEWS LIVE - 30,ALJAZ_20200118_140000_NEWS_LIVE_-_30,https://archive.org/download/ALJAZ_20200118_140000_NEWS_LIVE_-_30/ALJAZ_20200118_140000_NEWS_LIVE_-_30.thumbs/ALJAZ_20200118_140000_NEWS_LIVE_-_30_000778.jpg,"u.s. based centers for disease control says it hasn't seen this kind of virus before chinese officials have identified this outbreak as being caused by a novel coronavirus a corona virus is a class of viruses that can cause the common cold but it actually can also cause"
https://archive.org/details/ALJAZ_20200118_200000_Arabs_Abroad_The_Paralympian__The_Bone_Maker#start/1908/end/1943,1/18/2020 20:32:03,ALJAZ,Arabs Abroad The Paralympian  The Bone Maker,ALJAZ_20200118_200000_Arabs_Abroad_The_Paralympian__The_Bone_Maker,https://archive.org/download/ALJAZ_20200118_200000_Arabs_Abroad_The_Paralympian__The_Bone_Maker/ALJAZ_20200118_200000_Arabs_Abroad_The_Paralympian__The_Bone_Maker.thumbs/ALJAZ_20200118_200000_Arabs_Abroad_The_Paralympian__The_Bone_Maker_001888.jpg,"based the centers for disease control says it hasn't seen this kind of virus before chinese officials have identified this outbreak as being caused by a novel coronavirus a corona virus is a class of viruses that can cause the common cold but it actually can also cause"
https://archive.org/details/ALJAZ_20200126_130000_NEWSHOUR#start/696/end/731,1/26/2020 13:11:51,ALJAZ,NEWSHOUR,ALJAZ_20200126_130000_NEWSHOUR,https://archive.org/download/ALJAZ_20200126_130000_NEWSHOUR/ALJAZ_20200126_130000_NEWSHOUR.thumbs/ALJAZ_20200126_130000_NEWSHOUR_000688.jpg,"aren't in chile don't have that much to worry about yes but it seems to influenza season anyway that. a coronavirus right there that's influenza is not a ground of ok ok but the common cold is a corona virus so there's many coronaviruses for common ones that are corona virus"
https://archive.org/details/ALJAZ_20200126_230000_NEWSHOUR#start/1169/end/1204,1/26/2020 23:19:44,ALJAZ,NEWSHOUR,ALJAZ_20200126_230000_NEWSHOUR,https://archive.org/download/ALJAZ_20200126_230000_NEWSHOUR/ALJAZ_20200126_230000_NEWSHOUR.thumbs/ALJAZ_20200126_230000_NEWSHOUR_001169.jpg,"around the world are racing to prevent a pandemic of coronavirus the head of the world health organization is going to china the virus has already killed 56 people and infected within 2000 others still too early to know exactly how dangerous the virus is chinese health authorities say"
https://archive.org/details/ALJAZ_20200129_210000_NEWSHOUR#start/1318/end/1353,1/29/2020 21:22:13,ALJAZ,NEWSHOUR,ALJAZ_20200129_210000_NEWSHOUR,https://archive.org/download/ALJAZ_20200129_210000_NEWSHOUR/ALJAZ_20200129_210000_NEWSHOUR.thumbs/ALJAZ_20200129_210000_NEWSHOUR_001318.jpg,"have to answer and i think the answer that is made maybe by different governments in different ways is are these individuals likely to have coronavirus new current virus therefore should we isolate them quarantine them for 14 days which is the length of time that the virus seems to take to incubate or should we let them go"
