URL,MatchDateTime,Station,Show,IAShowID,IAPreviewThumb,Snippet
https://archive.org/details/CNNW_20200310_200000_Americas_Choice_2020_Super_Tuesday#start/9322/end/9357,3/10/2020 22:35:37,CNN,Americas Choice 2020 Super Tuesday,CNNW_20200310_200000_Americas_Choice_2020_Super_Tuesday,https://archive.org/download/CNNW_20200310_200000_Americas_Choice_2020_Super_Tuesday/CNNW_20200310_200000_Americas_Choice_2020_Super_Tuesday.thumbs/CNNW_20200310_200000_Americas_Choice_2020_Super_Tuesday_009298.jpg,"this? it's been called everything from the wuhan virus to coronavirus. people call it a novel coronavirus. should we just be calling this covid-19? we made a decision to call it novel coronavirus here because"
https://archive.org/details/CNNW_20200305_130000_New_Day_With_Alisyn_Camerota_and_John_Berman#start/187/end/222,3/5/2020 13:03:22,CNN,New Day With Alisyn Camerota and John Berman,CNNW_20200305_130000_New_Day_With_Alisyn_Camerota_and_John_Berman,https://archive.org/download/CNNW_20200305_130000_New_Day_With_Alisyn_Camerota_and_John_Berman/CNNW_20200305_130000_New_Day_With_Alisyn_Camerota_and_John_Berman.thumbs/CNNW_20200305_130000_New_Day_With_Alisyn_Camerota_and_John_Berman_000180.jpg,"covid-19 virus. the u.s. on edge this morning as the number of reported coronavirus cases continues to grow across the country. we have an epidemic caused by coronavirus, but we have a pandemic that is caused by fear."
https://archive.org/details/CNNW_20200308_080000_CNN_Newsroom_Live#start/3235/end/3270,3/8/2020 8:54:10,CNN,CNN Newsroom Live,CNNW_20200308_080000_CNN_Newsroom_Live,https://archive.org/download/CNNW_20200308_080000_CNN_Newsroom_Live/CNNW_20200308_080000_CNN_Newsroom_Live.thumbs/CNNW_20200308_080000_CNN_Newsroom_Live_003209.jpg,"cnn has details about that. reporter: it's not just covid-19 better known as the novel coronavirus that's spreading fast, there is a flow of misinformation online about the virus and health fishes are"
https://archive.org/details/CNNW_20200306_180000_CNN_Right_Now_With_Brianna_Keilar#start/765/end/800,3/6/2020 18:13:00,CNN,CNN Right Now With Brianna Keilar,CNNW_20200306_180000_CNN_Right_Now_With_Brianna_Keilar,https://archive.org/download/CNNW_20200306_180000_CNN_Right_Now_With_Brianna_Keilar/CNNW_20200306_180000_CNN_Right_Now_With_Brianna_Keilar.thumbs/CNNW_20200306_180000_CNN_Right_Now_With_Brianna_Keilar_000749.jpg,"rermers and we know that they're also a respiratory virus like covid-19. we don't know the mortality rate with this new virus, but that's one thing we're studying, how this virus replicates and causes"
https://archive.org/details/CNNW_20200304_200000_CNN_Newsroom_With_Brooke_Baldwin#start/1535/end/1570,3/4/2020 20:25:50,CNN,CNN Newsroom With Brooke Baldwin,CNNW_20200304_200000_CNN_Newsroom_With_Brooke_Baldwin,https://archive.org/download/CNNW_20200304_200000_CNN_Newsroom_With_Brooke_Baldwin/CNNW_20200304_200000_CNN_Newsroom_With_Brooke_Baldwin.thumbs/CNNW_20200304_200000_CNN_Newsroom_With_Brooke_Baldwin_001528.jpg,"testing. if you do that with covid testing, you can spray the virus up, and so for flu testing you don't have to have the airborne precautions that you have to with covid testing, so it's causing a little bit of -- the clinicians who are doing the"
https://archive.org/details/CNNW_20200310_070000_CNN_Tonight_With_Don_Lemon#start/3314/end/3349,3/10/2020 7:55:29,CNN,CNN Tonight With Don Lemon,CNNW_20200310_070000_CNN_Tonight_With_Don_Lemon,https://archive.org/download/CNNW_20200310_070000_CNN_Tonight_With_Don_Lemon/CNNW_20200310_070000_CNN_Tonight_With_Don_Lemon.thumbs/CNNW_20200310_070000_CNN_Tonight_With_Don_Lemon_003298.jpg,"experiencing outbreaks of the novel coronavirus. and that even if the u.s. were far more ready for the covid-19, the consequences would still be"
https://archive.org/details/CNNW_20200305_120000_New_Day_With_Alisyn_Camerota_and_John_Berman#start/231/end/266,3/5/2020 12:04:06,CNN,New Day With Alisyn Camerota and John Berman,CNNW_20200305_120000_New_Day_With_Alisyn_Camerota_and_John_Berman,https://archive.org/download/CNNW_20200305_120000_New_Day_With_Alisyn_Camerota_and_John_Berman/CNNW_20200305_120000_New_Day_With_Alisyn_Camerota_and_John_Berman.thumbs/CNNW_20200305_120000_New_Day_With_Alisyn_Camerota_and_John_Berman_000208.jpg,"those samples to determine whether or not these individuals that are symptomic just have traditional cold or flu or may have contracted the covid-19 virus."
https://archive.org/details/CNNW_20200309_150000_At_This_Hour_With_Kate_Bolduan#start/2488/end/2523,3/9/2020 15:41:43,CNN,At This Hour With Kate Bolduan,CNNW_20200309_150000_At_This_Hour_With_Kate_Bolduan,https://archive.org/download/CNNW_20200309_150000_At_This_Hour_With_Kate_Bolduan/CNNW_20200309_150000_At_This_Hour_With_Kate_Bolduan.thumbs/CNNW_20200309_150000_At_This_Hour_With_Kate_Bolduan_002487.jpg,"meaning online classes, mondtue, wednesday, and thursday on this. there was a person who was exposed to coronavirus. they have not tested positive for covid-19, the illness"
https://archive.org/details/CNNW_20200305_105900_New_Day_With_Alisyn_Camerota_and_John_Berman#start/248/end/283,3/5/2020 11:03:23,CNN,New Day With Alisyn Camerota and John Berman,CNNW_20200305_105900_New_Day_With_Alisyn_Camerota_and_John_Berman,https://archive.org/download/CNNW_20200305_105900_New_Day_With_Alisyn_Camerota_and_John_Berman/CNNW_20200305_105900_New_Day_With_Alisyn_Camerota_and_John_Berman.thumbs/CNNW_20200305_105900_New_Day_With_Alisyn_Camerota_and_John_Berman_000240.jpg,"those samples to determine whether or not these individuals that are symptomatic just have traditional cold or flu or may have contracted the covid-19 virus. reporter: the u.s. on edge this morning as the number of"
https://archive.org/details/CNNW_20200308_200000_CNN_Newsroom_With_Fredricka_Whitfield#start/2630/end/2665,3/8/2020 20:44:05,CNN,CNN Newsroom With Fredricka Whitfield,CNNW_20200308_200000_CNN_Newsroom_With_Fredricka_Whitfield,https://archive.org/download/CNNW_20200308_200000_CNN_Newsroom_With_Fredricka_Whitfield/CNNW_20200308_200000_CNN_Newsroom_With_Fredricka_Whitfield.thumbs/CNNW_20200308_200000_CNN_Newsroom_With_Fredricka_Whitfield_002609.jpg,"keeps constantly informed with detailed information about this operation, as well as about the covid-19 virus in general. we recognize that this is a time that we must be guided by facts and not fears and our public"
https://archive.org/details/CNNW_20200306_030000_Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall#start/6179/end/6214,3/6/2020 4:43:14,CNN,Coronavirus Facts and Fears A CNN Global Town Hall,CNNW_20200306_030000_Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall,https://archive.org/download/CNNW_20200306_030000_Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall/CNNW_20200306_030000_Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall.thumbs/CNNW_20200306_030000_Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall_006179.jpg,"much more about this class of viruses than we did 12 years ago. we've seen mrs, sars, and we now have seen this sars coronavirus 2, covid-19. all of these bats may have come"
https://archive.org/details/CNNW_20200301_160000_Reliable_Sources_with_Brian_Stelter#start/206/end/241,3/1/2020 16:03:41,CNN,Reliable Sources with Brian Stelter,CNNW_20200301_160000_Reliable_Sources_with_Brian_Stelter,https://archive.org/download/CNNW_20200301_160000_Reliable_Sources_with_Brian_Stelter/CNNW_20200301_160000_Reliable_Sources_with_Brian_Stelter.thumbs/CNNW_20200301_160000_Reliable_Sources_with_Brian_Stelter_000178.jpg,"about the coronavirus. you have dead right on this. the coronavirus is the common cold, folks. it's all part of a trump defense strategy fighting a virus by playing politics. the thing is this virus has no"
