URL,MatchDateTime,Station,Show,IAShowID,IAPreviewThumb,Snippet
https://archive.org/details/FBC_20200212_170000_Cavuto_Coast_to_Coast#start/1164/end/1199,2/12/2020 17:19:39,FBC,Cavuto Coast to Coast,FBC_20200212_170000_Cavuto_Coast_to_Coast,https://archive.org/download/FBC_20200212_170000_Cavuto_Coast_to_Coast/FBC_20200212_170000_Cavuto_Coast_to_Coast.thumbs/FBC_20200212_170000_Cavuto_Coast_to_Coast_001138.jpg,"latest. what are you looking at. reporter: covid-19 is short for coronavirus 2019. 2019 was when the virus was discovered back in december."
https://archive.org/details/FBC_20200217_170000_Cavuto_Coast_to_Coast#start/111/end/146,2/17/2020 17:02:06,FBC,Cavuto Coast to Coast,FBC_20200217_170000_Cavuto_Coast_to_Coast,https://archive.org/download/FBC_20200217_170000_Cavuto_Coast_to_Coast/FBC_20200217_170000_Cavuto_Coast_to_Coast.thumbs/FBC_20200217_170000_Cavuto_Coast_to_Coast_000089.jpg,"health cleaning after 83-year-old american woman tested positive for the covid-19 virus after leaving the ship going to asia. they caution against drastic"
https://archive.org/details/FBC_20200212_170000_Cavuto_Coast_to_Coast#start/1150/end/1185,2/12/2020 17:19:25,FBC,Cavuto Coast to Coast,FBC_20200212_170000_Cavuto_Coast_to_Coast,https://archive.org/download/FBC_20200212_170000_Cavuto_Coast_to_Coast/FBC_20200212_170000_Cavuto_Coast_to_Coast.thumbs/FBC_20200212_170000_Cavuto_Coast_to_Coast_001108.jpg,"a kohler walk-in bath provides independence with peace of mind. neil: world health organization is giving coronavirus official name of covid-19. jonathan serrie has the very"
https://archive.org/details/FBC_20200225_110000_Mornings_With_Maria_Bartiromo#start/2674/end/2709,2/25/2020 11:44:49,FBC,Mornings With Maria Bartiromo,FBC_20200225_110000_Mornings_With_Maria_Bartiromo,https://archive.org/download/FBC_20200225_110000_Mornings_With_Maria_Bartiromo/FBC_20200225_110000_Mornings_With_Maria_Bartiromo.thumbs/FBC_20200225_110000_Mornings_With_Maria_Bartiromo_002517.jpg,"maria: welcome back, breaking news, iran's deputy health minister tested virus for coronavirus according to state media, coronavirus fears taking a toll on stocks yesterday, global markets down sharply, we want to illustrate how the virus"
https://archive.org/details/FBC_20200226_210000_After_the_Bell#start/656/end/691,2/26/2020 21:11:11,FBC,After the Bell,FBC_20200226_210000_After_the_Bell,https://archive.org/download/FBC_20200226_210000_After_the_Bell/FBC_20200226_210000_After_the_Bell.thumbs/FBC_20200226_210000_After_the_Bell_000628.jpg,"too scared. first of all what is the difference between the coronavirus and the flu virus? they're different families of viruses. the influenza virus and the coronavirus are both viruses like staff and strep are both bacteria but they're different"
https://archive.org/details/FBC_20200225_200000_The_Claman_Countdown#start/161/end/196,2/25/2020 20:02:56,FBC,The Claman Countdown,FBC_20200225_200000_The_Claman_Countdown,https://archive.org/download/FBC_20200225_200000_The_Claman_Countdown/FBC_20200225_200000_The_Claman_Countdown.thumbs/FBC_20200225_200000_The_Claman_Countdown_000147.jpg,"covid-19 will be outlined. you can see our cameras are right there. we will take you straight to washington, d.c. when it begins because there may be some new announcements, new information. clearly there is a direct implication between what's happening with that virus and"
https://archive.org/details/FBC_20200225_230000_The_Evening_Edit#start/3642/end/3677,2/26/2020 0:00:57,FBC,The Evening Edit,FBC_20200225_230000_The_Evening_Edit,https://archive.org/download/FBC_20200225_230000_The_Evening_Edit/FBC_20200225_230000_The_Evening_Edit.thumbs/FBC_20200225_230000_The_Evening_Edit_003629.jpg,"message they are delivering to the american people about the coronavirus. the centers for disease control. principal deputy director said the virus is not"
https://archive.org/details/FBC_20200212_190000_Making_Money_With_Charles_Payne#start/725/end/760,2/12/2020 19:12:20,FBC,Making Money With Charles Payne,FBC_20200212_190000_Making_Money_With_Charles_Payne,https://archive.org/download/FBC_20200212_190000_Making_Money_With_Charles_Payne/FBC_20200212_190000_Making_Money_With_Charles_Payne.thumbs/FBC_20200212_190000_Making_Money_With_Charles_Payne_002008.jpg,"investors perceive the flowing and the deadly coronavirus in the outbreak in china even as the world health organization warns the virus could still be"
https://archive.org/details/FBC_20200226_020000_Kennedy#start/3642/end/3677,2/26/2020 3:00:57,FBC,Kennedy,FBC_20200226_020000_Kennedy,https://archive.org/download/FBC_20200226_020000_Kennedy/FBC_20200226_020000_Kennedy.thumbs/FBC_20200226_020000_Kennedy_003629.jpg,"message they are delivering to the american people about the coronavirus. the centers for disease control. principal deputy director said the virus is not an immediate"
https://archive.org/details/FBC_20200214_230000_The_Evening_Edit#start/1682/end/1717,2/14/2020 23:28:17,FBC,The Evening Edit,FBC_20200214_230000_The_Evening_Edit,https://archive.org/download/FBC_20200214_230000_The_Evening_Edit/FBC_20200214_230000_The_Evening_Edit.thumbs/FBC_20200214_230000_The_Evening_Edit_001679.jpg,"virus as public enemy number one, i don't think we will learn from our lessons. liz: that raised eyebrows, the leader said the virus like the coronavirus is a bigger threat"
https://archive.org/details/FBC_20200226_220000_Bulls__Bears#start/3492/end/3527,2/26/2020 22:58:27,FBC,Bulls  Bears,FBC_20200226_220000_Bulls__Bears,https://archive.org/download/FBC_20200226_220000_Bulls__Bears/FBC_20200226_220000_Bulls__Bears.thumbs/FBC_20200226_220000_Bulls__Bears_003479.jpg,"he will speak with the administration response to the virus. president says the mainstream media is covering the virus accurately tweeting out, low ratings, fake news, cnn, comcast are making everything possible to make the coronavirus as bad"
https://archive.org/details/FBC_20200221_110000_Mornings_With_Maria_Bartiromo#start/5552/end/5587,2/21/2020 12:32:47,FBC,Mornings With Maria Bartiromo,FBC_20200221_110000_Mornings_With_Maria_Bartiromo,https://archive.org/download/FBC_20200221_110000_Mornings_With_Maria_Bartiromo/FBC_20200221_110000_Mornings_With_Maria_Bartiromo.thumbs/FBC_20200221_110000_Mornings_With_Maria_Bartiromo_005549.jpg,"contracted the coronavirus? yes. i came down with the virus when we landed here in omaha, they testhood me and confirmed i have the virus. interestingly enough, i had been tested in japan a few days"
https://archive.org/details/FBC_20200211_190000_Making_Money_With_Charles_Payne#start/3644/end/3679,2/11/2020 20:00:59,FBC,Making Money With Charles Payne,FBC_20200211_190000_Making_Money_With_Charles_Payne,https://archive.org/download/FBC_20200211_190000_Making_Money_With_Charles_Payne/FBC_20200211_190000_Making_Money_With_Charles_Payne.thumbs/FBC_20200211_190000_Making_Money_With_Charles_Payne_003628.jpg,"well be the deadly coronavirus outbreak which killed more people yesterday than any day since the virus appeared. the human toll followed by the business issue as global supply chains rupture right and left. we've got"
https://archive.org/details/FBC_20200217_030000_Sunday_Morning_Futures_With_Maria_Bartiromo#start/2046/end/2081,2/17/2020 3:34:21,FBC,Sunday Morning Futures With Maria Bartiromo,FBC_20200217_030000_Sunday_Morning_Futures_With_Maria_Bartiromo,https://archive.org/download/FBC_20200217_030000_Sunday_Morning_Futures_With_Maria_Bartiromo/FBC_20200217_030000_Sunday_Morning_Futures_With_Maria_Bartiromo.thumbs/FBC_20200217_030000_Sunday_Morning_Futures_With_Maria_Bartiromo_002038.jpg,"that virus according to -- coronavirus according to today's new york times. but in doing so, they're admitting that he was aware of the virus before he first publicly spoke about it. meanwhile, arkansas senator tom cotton has been calling out"
https://archive.org/details/FBC_20200213_190000_Making_Money_With_Charles_Payne#start/33/end/68,2/13/2020 19:00:48,FBC,Making Money With Charles Payne,FBC_20200213_190000_Making_Money_With_Charles_Payne,https://archive.org/download/FBC_20200213_190000_Making_Money_With_Charles_Payne/FBC_20200213_190000_Making_Money_With_Charles_Payne.thumbs/FBC_20200213_190000_Making_Money_With_Charles_Payne_000029.jpg,"coronavirus virus cases in china. the numbers may not be what they seem. we'll get reaction from florida senator rick scott from the lack of transparency from china on the coronavirus. president trump welcoming one of his toughest critics to the"
https://archive.org/details/FBC_20200211_100000_FBN_AM#start/3095/end/3130,2/11/2020 10:51:50,FBC,FBN AM,FBC_20200211_100000_FBN_AM,https://archive.org/download/FBC_20200211_100000_FBN_AM/FBC_20200211_100000_FBN_AM.thumbs/FBC_20200211_100000_FBN_AM_003087.jpg,"deadly than the flu, which usually that targets young children with weak immune systems and the elderly, this is young people are dying from the coronavirus. right. coronavirus is much more aggressive virus than flu. the fatality rate as you said is"
https://archive.org/details/FBC_20200219_200000_The_Claman_Countdown#start/1085/end/1120,2/19/2020 20:18:20,FBC,The Claman Countdown,FBC_20200219_200000_The_Claman_Countdown,https://archive.org/download/FBC_20200219_200000_The_Claman_Countdown/FBC_20200219_200000_The_Claman_Countdown.thumbs/FBC_20200219_200000_The_Claman_Countdown_001078.jpg,"coronavirus. dr. liu who ran the hospital was one killed by the virus. obviously he is a medical professional. he took precautions treating patients but still succumbed to the disease. from what you know so far, now virulent is the coronavirus?"
https://archive.org/details/FBC_20200217_140000_Varney__Company#start/7587/end/7622,2/17/2020 16:06:42,FBC,Varney  Company,FBC_20200217_140000_Varney__Company,https://archive.org/download/FBC_20200217_140000_Varney__Company/FBC_20200217_140000_Varney__Company.thumbs/FBC_20200217_140000_Varney__Company_007587.jpg,"morning after being evacuated from the coronavirus infected 'diamond princess' cruise ship. lauren, we know now some have tested positive for the virus, right? lauren: 14 of them. that cruise ship that was docked in japan was the largest concentration of coronavirus"
https://archive.org/details/FBC_20200227_140000_Varney__Company#start/8092/end/8127,2/27/2020 16:15:07,FBC,Varney  Company,FBC_20200227_140000_Varney__Company,https://archive.org/download/FBC_20200227_140000_Varney__Company/FBC_20200227_140000_Varney__Company.thumbs/FBC_20200227_140000_Varney__Company_008069.jpg,"the mayor had exposure to the virus. latest results in that so far everyone tested negative for coronavirus."
https://archive.org/details/FBC_20200207_170000_Cavuto_Coast_to_Coast#start/2104/end/2139,2/7/2020 17:35:19,FBC,Cavuto Coast to Coast,FBC_20200207_170000_Cavuto_Coast_to_Coast,https://archive.org/download/FBC_20200207_170000_Cavuto_Coast_to_Coast/FBC_20200207_170000_Cavuto_Coast_to_Coast.thumbs/FBC_20200207_170000_Cavuto_Coast_to_Coast_002099.jpg,"virus itself. here's the latest. the government working to content the coronavirus paid search is on for a cure,"
https://archive.org/details/FBC_20200206_190000_Making_Money_With_Charles_Payne#start/2733/end/2768,2/6/2020 19:45:48,FBC,Making Money With Charles Payne,FBC_20200206_190000_Making_Money_With_Charles_Payne,https://archive.org/download/FBC_20200206_190000_Making_Money_With_Charles_Payne/FBC_20200206_190000_Making_Money_With_Charles_Payne.thumbs/FBC_20200206_190000_Making_Money_With_Charles_Payne_002730.jpg,"charles: the doctor who sounded the alarm on the coronavirus is reportedly in critical condition after contracting the virus himself. this as the virus has affected more than 28000 people globally. killed over 560. here with me now 'claman countdown' host liz claman. you're following through on"
