URL,MatchDateTime,Station,Show,IAShowID,IAPreviewThumb,Snippet
https://archive.org/details/FOXNEWSW_20200305_210000_Your_World_With_Neil_Cavuto#start/1677/end/1712,3/5/2020 21:28:12,FOXNEWS,Your World With Neil Cavuto,FOXNEWSW_20200305_210000_Your_World_With_Neil_Cavuto,https://archive.org/download/FOXNEWSW_20200305_210000_Your_World_With_Neil_Cavuto/FOXNEWSW_20200305_210000_Your_World_With_Neil_Cavuto.thumbs/FOXNEWSW_20200305_210000_Your_World_With_Neil_Cavuto_001678.jpg,"specific for covid-19. there are seven strains of the coronavirus, for alpha strains and two beta strains. there was sars and mers and now covid-19 which i remember neil,"
https://archive.org/details/FOXNEWSW_20200308_220000_Fox_Report_with_Jon_Scott#start/350/end/385,3/8/2020 22:06:05,FOXNEWS,Fox Report with Jon Scott,FOXNEWSW_20200308_220000_Fox_Report_with_Jon_Scott,https://archive.org/download/FOXNEWSW_20200308_220000_Fox_Report_with_Jon_Scott/FOXNEWSW_20200308_220000_Fox_Report_with_Jon_Scott.thumbs/FOXNEWSW_20200308_220000_Fox_Report_with_Jon_Scott_000328.jpg,"over 1 million coronavirus test kits have been shipped to nonpublic health labs. as of friday night the first batch is going to states with many cases like covid 19 like washington in california. dr. ben carson said on sunday morning futures that the government is closely monitoring the clusters of this virus as"
https://archive.org/details/FOXNEWSW_20200309_130000_Americas_Newsroom#start/7959/end/7994,3/9/2020 15:12:54,FOXNEWS,Americas Newsroom,FOXNEWSW_20200309_130000_Americas_Newsroom,https://archive.org/download/FOXNEWSW_20200309_130000_Americas_Newsroom/FOXNEWSW_20200309_130000_Americas_Newsroom.thumbs/FOXNEWSW_20200309_130000_Americas_Newsroom_007949.jpg,"covid-19. the 19 coming from 2019, the year it was discovered. well, it is all because there are many types of coronavirus, ones deadly like sars or some as mild as the common cold. covid-19 is the name that"
https://archive.org/details/FOXNEWSW_20200309_130000_Americas_Newsroom#start/1421/end/1456,3/9/2020 13:23:56,FOXNEWS,Americas Newsroom,FOXNEWSW_20200309_130000_Americas_Newsroom,https://archive.org/download/FOXNEWSW_20200309_130000_Americas_Newsroom/FOXNEWSW_20200309_130000_Americas_Newsroom.thumbs/FOXNEWSW_20200309_130000_Americas_Newsroom_001409.jpg,"working with now covid-19 has a tremendous number of similarities between this and mers. so what we were able to do is take the knowledge. jon: it is a variant of the sars virus and the mers virus, is it not?"
https://archive.org/details/FOXNEWSW_20200309_130000_Americas_Newsroom#start/5925/end/5960,3/9/2020 14:39:00,FOXNEWS,Americas Newsroom,FOXNEWSW_20200309_130000_Americas_Newsroom,https://archive.org/download/FOXNEWSW_20200309_130000_Americas_Newsroom/FOXNEWSW_20200309_130000_Americas_Newsroom.thumbs/FOXNEWSW_20200309_130000_Americas_Newsroom_005909.jpg,"for some time. the covid-19 strain of the coronavirus that has caused all of this -- all of these problems. what is it about that strain and what makes that so different than the coronavirus that has existed?"
https://archive.org/details/FOXNEWSW_20200307_190000_Americas_News_Headquarters#start/175/end/210,3/7/2020 19:03:10,FOXNEWS,Americas News Headquarters,FOXNEWSW_20200307_190000_Americas_News_Headquarters,https://archive.org/download/FOXNEWSW_20200307_190000_Americas_News_Headquarters/FOXNEWSW_20200307_190000_Americas_News_Headquarters.thumbs/FOXNEWSW_20200307_190000_Americas_News_Headquarters_000149.jpg,"countries like peru and slovakia. there is good news here. covid-19 seems to be retreating in china where the virus first emerged. china reported 99 cases of the virus today, that's the first time it's only had a double digit increase since late"
https://archive.org/details/FOXNEWSW_20200305_140000_Americas_Newsroom#start/2024/end/2059,3/5/2020 14:33:59,FOXNEWS,Americas Newsroom,FOXNEWSW_20200305_140000_Americas_Newsroom,https://archive.org/download/FOXNEWSW_20200305_140000_Americas_Newsroom/FOXNEWSW_20200305_140000_Americas_Newsroom.thumbs/FOXNEWSW_20200305_140000_Americas_Newsroom_002008.jpg,"cause the flu. remember, the cdc says covid-19 spreads mainly person to person but by touching surfaces where the virus can live for up to nine days."
https://archive.org/details/FOXNEWSW_20200310_040000_Tucker_Carlson_Tonight#start/2934/end/2969,3/10/2020 4:49:09,FOXNEWS,Tucker Carlson Tonight,FOXNEWSW_20200310_040000_Tucker_Carlson_Tonight,https://archive.org/download/FOXNEWSW_20200310_040000_Tucker_Carlson_Tonight/FOXNEWSW_20200310_040000_Tucker_Carlson_Tonight.thumbs/FOXNEWSW_20200310_040000_Tucker_Carlson_Tonight_002909.jpg,"that's her whole -- and then david gura of nbc news fyi calling the covid-19 wuhan virus is racist. none of them explained why that would be racist."
https://archive.org/details/FOXNEWSW_20200310_000000_Tucker_Carlson_Tonight#start/2938/end/2973,3/10/2020 0:49:13,FOXNEWS,Tucker Carlson Tonight,FOXNEWSW_20200310_000000_Tucker_Carlson_Tonight,https://archive.org/download/FOXNEWSW_20200310_000000_Tucker_Carlson_Tonight/FOXNEWSW_20200310_000000_Tucker_Carlson_Tonight.thumbs/FOXNEWSW_20200310_000000_Tucker_Carlson_Tonight_002910.jpg,"that's her whole -- and then david guerra of nbc news fyi calling the covid-19 wuhan virus is racist. none of them explained why that would be racist."
https://archive.org/details/FOXNEWSW_20200310_210000_The_Five#start/3327/end/3362,3/10/2020 21:55:42,FOXNEWS,The Five,FOXNEWSW_20200310_210000_The_Five,https://archive.org/download/FOXNEWSW_20200310_210000_The_Five/FOXNEWSW_20200310_210000_The_Five.thumbs/FOXNEWSW_20200310_210000_The_Five_003327.jpg,"of the covid virus costs. they asked the president for more flexibility in medicare plans. the president agreed to do that. now not only can they waive the"
